Date, State/UT, cumulative confirmed count, cumulative Recovered count, cumulative death count, cumulative active count
14-Mar-20,AN,0,0,0,0
15-Mar-20,AN,0,0,0,0
16-Mar-20,AN,0,0,0,0
17-Mar-20,AN,0,0,0,0
18-Mar-20,AN,0,0,0,0
19-Mar-20,AN,0,0,0,0
20-Mar-20,AN,0,0,0,0
21-Mar-20,AN,0,0,0,0
22-Mar-20,AN,0,0,0,0
23-Mar-20,AN,0,0,0,0
24-Mar-20,AN,0,0,0,0
25-Mar-20,AN,0,0,0,0
26-Mar-20,AN,1,0,0,1
27-Mar-20,AN,6,0,0,6
28-Mar-20,AN,9,0,0,9
29-Mar-20,AN,9,0,0,9
30-Mar-20,AN,10,0,0,10
31-Mar-20,AN,10,0,0,10
1-Apr-20,AN,10,0,0,10
2-Apr-20,AN,10,0,0,10
3-Apr-20,AN,10,0,0,10
4-Apr-20,AN,10,0,0,10
5-Apr-20,AN,10,0,0,10
6-Apr-20,AN,10,0,0,10
7-Apr-20,AN,10,0,0,10
8-Apr-20,AN,11,0,0,11
9-Apr-20,AN,11,10,0,1
10-Apr-20,AN,11,10,0,1
11-Apr-20,AN,11,10,0,1
12-Apr-20,AN,11,10,0,1
13-Apr-20,AN,11,10,0,1
14-Apr-20,AN,11,10,0,1
15-Apr-20,AN,11,10,0,1
16-Apr-20,AN,11,11,0,0
17-Apr-20,AN,12,11,0,1
18-Apr-20,AN,14,11,0,3
19-Apr-20,AN,15,11,0,4
20-Apr-20,AN,16,11,0,5
21-Apr-20,AN,17,11,0,6
22-Apr-20,AN,18,11,0,7
23-Apr-20,AN,22,11,0,11
24-Apr-20,AN,29,11,0,18
25-Apr-20,AN,33,11,0,22
26-Apr-20,AN,33,11,0,22
27-Apr-20,AN,33,11,0,22
28-Apr-20,AN,33,15,0,18
29-Apr-20,AN,33,15,0,18
30-Apr-20,AN,33,16,0,17
1-May-20,AN,33,16,0,17
2-May-20,AN,33,26,0,7
3-May-20,AN,33,32,0,1
4-May-20,AN,33,32,0,1
5-May-20,AN,33,32,0,1
6-May-20,AN,33,32,0,1
7-May-20,AN,33,33,0,0
8-May-20,AN,33,33,0,0
9-May-20,AN,33,33,0,0
10-May-20,AN,33,33,0,0
11-May-20,AN,33,33,0,0
12-May-20,AN,33,33,0,0
13-May-20,AN,33,33,0,0
14-May-20,AN,33,33,0,0
15-May-20,AN,33,33,0,0
16-May-20,AN,33,33,0,0
17-May-20,AN,33,33,0,0
18-May-20,AN,33,33,0,0
19-May-20,AN,33,33,0,0
20-May-20,AN,33,33,0,0
21-May-20,AN,33,33,0,0
22-May-20,AN,33,33,0,0
23-May-20,AN,33,33,0,0
24-May-20,AN,33,33,0,0
25-May-20,AN,33,33,0,0
14-Mar-20,AN,0,0,0,0
15-Mar-20,AN,0,0,0,0
16-Mar-20,AN,0,0,0,0
17-Mar-20,AN,0,0,0,0
18-Mar-20,AN,0,0,0,0
19-Mar-20,AN,0,0,0,0
20-Mar-20,AN,0,0,0,0
21-Mar-20,AN,0,0,0,0
22-Mar-20,AN,0,0,0,0
23-Mar-20,AN,0,0,0,0
24-Mar-20,AN,0,0,0,0
25-Mar-20,AN,0,0,0,0
26-Mar-20,AN,1,0,0,1
27-Mar-20,AN,6,0,0,6
28-Mar-20,AN,9,0,0,9
29-Mar-20,AN,9,0,0,9
30-Mar-20,AN,10,0,0,10
31-Mar-20,AN,10,0,0,10
1-Apr-20,AN,10,0,0,10
2-Apr-20,AN,10,0,0,10
3-Apr-20,AN,10,0,0,10
4-Apr-20,AN,10,0,0,10
5-Apr-20,AN,10,0,0,10
6-Apr-20,AN,10,0,0,10
7-Apr-20,AN,10,0,0,10
8-Apr-20,AN,11,0,0,11
9-Apr-20,AN,11,10,0,1
10-Apr-20,AN,11,10,0,1
11-Apr-20,AN,11,10,0,1
12-Apr-20,AN,11,10,0,1
13-Apr-20,AN,11,10,0,1
14-Apr-20,AN,11,10,0,1
15-Apr-20,AN,11,10,0,1
16-Apr-20,AN,11,11,0,0
17-Apr-20,AN,12,11,0,1
18-Apr-20,AN,14,11,0,3
19-Apr-20,AN,15,11,0,4
20-Apr-20,AN,16,11,0,5
21-Apr-20,AN,17,11,0,6
22-Apr-20,AN,18,11,0,7
23-Apr-20,AN,22,11,0,11
24-Apr-20,AN,29,11,0,18
25-Apr-20,AN,33,11,0,22
26-Apr-20,AN,33,11,0,22
27-Apr-20,AN,33,11,0,22
28-Apr-20,AN,33,15,0,18
29-Apr-20,AN,33,15,0,18
30-Apr-20,AN,33,16,0,17
1-May-20,AN,33,16,0,17
2-May-20,AN,33,26,0,7
3-May-20,AN,33,32,0,1
4-May-20,AN,33,32,0,1
5-May-20,AN,33,32,0,1
6-May-20,AN,33,32,0,1
7-May-20,AN,33,33,0,0
8-May-20,AN,33,33,0,0
9-May-20,AN,33,33,0,0
10-May-20,AN,33,33,0,0
11-May-20,AN,33,33,0,0
12-May-20,AN,33,33,0,0
13-May-20,AN,33,33,0,0
14-May-20,AN,33,33,0,0
15-May-20,AN,33,33,0,0
16-May-20,AN,33,33,0,0
17-May-20,AN,33,33,0,0
18-May-20,AN,33,33,0,0
19-May-20,AN,33,33,0,0
20-May-20,AN,33,33,0,0
21-May-20,AN,33,33,0,0
22-May-20,AN,33,33,0,0
23-May-20,AN,33,33,0,0
24-May-20,AN,33,33,0,0
25-May-20,AN,33,33,0,0
14-Mar-20,AN,0,0,0,0
15-Mar-20,AN,0,0,0,0
16-Mar-20,AN,0,0,0,0
17-Mar-20,AN,0,0,0,0
18-Mar-20,AN,0,0,0,0
19-Mar-20,AN,0,0,0,0
20-Mar-20,AN,0,0,0,0
21-Mar-20,AN,0,0,0,0
22-Mar-20,AN,0,0,0,0
23-Mar-20,AN,0,0,0,0
24-Mar-20,AN,0,0,0,0
25-Mar-20,AN,0,0,0,0
26-Mar-20,AN,1,0,0,1
27-Mar-20,AN,6,0,0,6
28-Mar-20,AN,9,0,0,9
29-Mar-20,AN,9,0,0,9
30-Mar-20,AN,10,0,0,10
31-Mar-20,AN,10,0,0,10
1-Apr-20,AN,10,0,0,10
2-Apr-20,AN,10,0,0,10
3-Apr-20,AN,10,0,0,10
4-Apr-20,AN,10,0,0,10
5-Apr-20,AN,10,0,0,10
6-Apr-20,AN,10,0,0,10
7-Apr-20,AN,10,0,0,10
8-Apr-20,AN,11,0,0,11
9-Apr-20,AN,11,10,0,1
10-Apr-20,AN,11,10,0,1
11-Apr-20,AN,11,10,0,1
12-Apr-20,AN,11,10,0,1
13-Apr-20,AN,11,10,0,1
14-Apr-20,AN,11,10,0,1
15-Apr-20,AN,11,10,0,1
16-Apr-20,AN,11,11,0,0
17-Apr-20,AN,12,11,0,1
18-Apr-20,AN,14,11,0,3
19-Apr-20,AN,15,11,0,4
20-Apr-20,AN,16,11,0,5
21-Apr-20,AN,17,11,0,6
22-Apr-20,AN,18,11,0,7
23-Apr-20,AN,22,11,0,11
24-Apr-20,AN,29,11,0,18
25-Apr-20,AN,33,11,0,22
26-Apr-20,AN,33,11,0,22
27-Apr-20,AN,33,11,0,22
28-Apr-20,AN,33,15,0,18
29-Apr-20,AN,33,15,0,18
30-Apr-20,AN,33,16,0,17
1-May-20,AN,33,16,0,17
2-May-20,AN,33,26,0,7
3-May-20,AN,33,32,0,1
4-May-20,AN,33,32,0,1
5-May-20,AN,33,32,0,1
6-May-20,AN,33,32,0,1
7-May-20,AN,33,33,0,0
8-May-20,AN,33,33,0,0
9-May-20,AN,33,33,0,0
10-May-20,AN,33,33,0,0
11-May-20,AN,33,33,0,0
12-May-20,AN,33,33,0,0
13-May-20,AN,33,33,0,0
14-May-20,AN,33,33,0,0
15-May-20,AN,33,33,0,0
16-May-20,AN,33,33,0,0
17-May-20,AN,33,33,0,0
18-May-20,AN,33,33,0,0
19-May-20,AN,33,33,0,0
20-May-20,AN,33,33,0,0
21-May-20,AN,33,33,0,0
22-May-20,AN,33,33,0,0
23-May-20,AN,33,33,0,0
24-May-20,AN,33,33,0,0
25-May-20,AN,33,33,0,0
14-Mar-20,AP,1,0,0,1
15-Mar-20,AP,1,0,0,1
16-Mar-20,AP,1,0,0,1
17-Mar-20,AP,1,0,0,1
18-Mar-20,AP,1,0,0,1
19-Mar-20,AP,3,0,0,3
20-Mar-20,AP,3,0,0,3
21-Mar-20,AP,5,0,0,5
